energy_term,comfort_term,energy_penalty,comfort_penalty,total_power_demand,total_temperature_violation,avg_pmv,price_kwh,TimeLimit.truncated
-3.7567585807549864,-104.69004150133998,-7.513517161509973,-8.375203320107198,1649.1477527458235,8.375203320107198,-1.6586718730626264,4.556,False
-3.246743747211159,-105.4488013494618,-6.493487494422318,-8.435904107956944,1425.2606440786476,8.435904107956944,-1.675467889951479,4.556,False
-3.6710332134852726,-104.37509065501025,-7.342066426970545,-8.35000725240082,1611.5158970523585,8.35000725240082,-1.6856607530293786,4.556,False
-3.60151238790231,-106.20813695238745,-7.20302477580462,-8.496650956190996,1580.9975363925855,8.496650956190996,-1.733052011836527,4.556,False
-3.311242348034299,-109.43672665125175,-6.622484696068598,-8.75493813210014,1453.5743406647493,8.75493813210014,-1.7678938503864787,4.556,False
-3.1852674598616564,-108.06974026476514,-6.370534919723313,-8.645579221181212,1398.2736873843971,8.645579221181212,-1.7561347089087498,4.556,False
-3.6178359606287063,-106.53387328055912,-7.2356719212574125,-8.52270986244473,1588.16328385808,8.52270986244473,-1.7406137492509546,4.556,False
-3.297052150006076,-106.5117027137311,-6.594104300012152,-8.520936217098487,1447.3451053582423,8.520936217098487,-1.743355813608554,4.556,False
-3.55614423019064,-106.30116090169332,-7.11228846038128,-8.504092872135466,1561.081751620123,8.504092872135466,-1.7427363816713992,4.556,False
-3.5886343523585253,-106.72216522286733,-7.177268704717051,-8.537773217829386,1575.3443162241113,8.537773217829386,-1.749770108748553,4.556,False
-3.600346549707843,-107.89092535081892,-7.200693099415686,-8.631274028065514,1580.4857549200365,8.631274028065514,-1.7633686710881051,4.556,False
-3.3469731781531946,-108.97792444258675,-6.693946356306389,-8.71823395540694,1469.2595163095675,8.71823395540694,-1.7739461235606686,4.556,False
-2.290180173173542,-110.0156148744581,-4.580360346347084,-8.801249189956648,1005.346871454584,8.801249189956648,-1.7817786611230175,4.556,False
-3.4620784322040663,-114.72910675331116,-6.924156864408133,-9.178328540264893,1519.7886006163592,9.178328540264893,-1.8178035647314026,4.556,False
-3.6201737019777873,-117.61743383379691,-7.240347403955575,-9.409394706703752,1589.1895092088619,9.409394706703752,-1.838728830864162,4.556,False
-3.357839699870403,-118.46217884725834,-6.715679399740806,-9.476974307780667,1474.0297189949092,9.476974307780667,-1.8446387112793434,4.556,False
-3.5850743046195346,-117.20754232358819,-7.170148609239069,-9.376603385887055,1573.7815209040978,9.376603385887055,-1.8341765735974704,4.556,False
-3.3259716761672897,-115.90094275703949,-6.6519433523345795,-9.272075420563159,1460.040244147186,9.272075420563159,-1.823909494761189,4.556,False
-3.547558024593187,-113.9674593255436,-7.095116049186374,-9.117396746043488,1557.3125656686511,9.117396746043488,-1.8078700554441702,4.556,False
